;AIR LIQUIDE;AIRBUS;ALSTOM;AXA;BNP PARIBAS;BOUYGUES;CAPGEMINI;CARREFOUR;CREDIT AGRICOLE SA;DANONE;DASSAULT SYSTEMES;ENGIE;ESSILORLUXOTTICA;EUROFINS SCIENTIFIC;HERMES INTL;KERING;L'OREAL;LEGRAND;LVMH;MICHELIN;ORANGE;PERNOD RICARD;PUBLICIS GROUPE;RENAULT;SAFRAN;ARCELORMITTAL;UNIBAIL-RODAMCO-WESTFIELD;SAINT-GOBAIN;SANOFI;SCHNEIDER ELECTRIC;SOCIETE GENERALE;STELLANTIS;STMICROELECTRONICS;TELEPERFORMANCE;THALES;TOTALENERGIES;VEOLIA;VINCI;VIVENDI;WORLDLINE
12:36:27;133.640;113.540;22.370;26.445;50.640;29.840;163.050;16.300;9.678;49.170;33.865;13.504;164.500;67.180;1 358.500;509.900;326.200;73.520;656.900;26.215;9.787;180.650;59.800;31.010;113.500;24.080;48.675;42.150;85.790;132.460;23.865;13.642;32.850;257.900;124.500;57.600;23.710;94.150;8.510;44.400
12:36:38;133.640;113.540;22.370;26.445;50.640;29.840;163.050;16.300;9.678;49.170;33.865;13.504;164.500;67.180;1 358.500;509.900;326.200;73.520;656.900;26.215;9.787;180.650;59.800;31.010;113.500;24.080;48.675;42.150;85.790;132.460;23.865;13.642;32.850;257.900;124.500;57.600;23.710;94.150;8.510;44.400
12:36:48;133.640;113.540;22.370;26.445;50.640;29.840;163.050;16.300;9.678;49.170;33.860;13.504;164.500;67.180;1 358.500;510.000;326.200;73.540;656.700;26.215;9.788;180.650;59.800;31.010;113.500;24.075;48.675;42.150;85.790;132.480;23.865;13.642;32.850;257.900;124.500;57.600;23.710;94.170;8.510;44.400
12:36:59;133.640;113.500;22.370;26.445;50.640;29.840;163.050;16.300;9.678;49.165;33.860;13.504;164.500;67.200;1 359.000;510.000;326.200;73.540;656.700;26.210;9.788;180.650;59.800;31.010;113.480;24.075;48.675;42.150;85.790;132.460;23.865;13.642;32.850;257.900;124.500;57.600;23.710;94.170;8.510;44.400
12:37:09;133.640;113.500;22.370;26.445;50.640;29.840;163.050;16.300;9.678;49.165;33.875;13.504;164.500;67.200;1 359.000;510.000;326.200;73.520;656.700;26.220;9.788;180.650;59.800;31.010;113.480;24.075;48.680;42.150;85.800;132.460;23.865;13.646;32.850;257.900;124.500;57.600;23.710;94.170;8.510;44.400
12:37:20;133.600;113.500;22.370;26.450;50.640;29.840;163.050;16.300;9.679;49.160;33.875;13.504;164.500;67.200;1 359.000;510.000;326.100;73.520;656.900;26.220;9.788;180.600;59.800;31.010;113.480;24.075;48.680;42.150;85.800;132.460;23.865;13.646;32.850;257.900;124.500;57.600;23.710;94.160;8.510;44.400
12:37:30;133.580;113.460;22.370;26.450;50.630;29.840;163.000;16.300;9.678;49.160;33.875;13.504;164.500;67.200;1 359.000;510.000;326.100;73.480;656.800;26.215;9.788;180.600;59.800;31.010;113.460;24.075;48.680;42.150;85.800;132.460;23.865;13.646;32.840;257.900;124.500;57.600;23.710;94.160;8.510;44.400
12:37:41;133.580;113.480;22.370;26.450;50.630;29.840;163.000;16.300;9.678;49.160;33.875;13.504;164.500;67.200;1 359.000;510.100;326.150;73.520;657.100;26.215;9.788;180.600;59.800;31.020;113.460;24.075;48.680;42.150;85.800;132.460;23.870;13.646;32.840;257.900;124.500;57.600;23.690;94.160;8.510;44.400
12:37:51;133.580;113.480;22.360;26.440;50.630;29.840;162.950;16.300;9.680;49.160;33.860;13.500;164.500;67.200;1 359.500;510.400;326.150;73.520;657.000;26.215;9.786;180.600;59.800;31.010;113.460;24.075;48.680;42.160;85.780;132.460;23.870;13.646;32.840;257.800;124.450;57.600;23.690;94.170;8.510;44.400
12:38:02;133.580;113.460;22.360;26.440;50.630;29.840;162.950;16.300;9.679;49.170;33.875;13.500;164.550;67.200;1 359.500;510.500;326.350;73.520;657.600;26.225;9.786;180.600;59.800;30.995;113.440;24.075;48.680;42.155;85.790;132.460;23.865;13.642;32.840;257.900;124.400;57.570;23.690;94.180;8.510;44.400
12:38:12;133.580;113.460;22.360;26.440;50.630;29.840;162.950;16.300;9.679;49.170;33.875;13.500;164.650;67.200;1 360.000;510.600;326.350;73.520;657.700;26.225;9.786;180.600;59.800;31.005;113.440;24.075;48.680;42.155;85.790;132.460;23.865;13.640;32.840;257.900;124.400;57.550;23.690;94.180;8.510;44.400
12:38:23;133.280;113.480;22.340;26.420;50.740;29.800;162.750;16.275;9.704;49.225;33.765;13.492;164.450;66.960;1 349.000;508.100;324.250;73.420;653.900;26.330;9.797;180.150;59.780;31.000;113.260;24.135;48.760;42.145;85.860;132.240;23.860;13.662;32.830;257.400;124.350;57.620;23.670;94.160;8.498;44.460
